student_id,age,cgpa,backlogs,attendance_percentage,aptitude_test_score,coding_skill_score,problem_solving_score,teamwork_score,communication_score,leadership_score,mock_interview_score,extracurricular_score,internships_done,projects_count,hackathon_participation,recommended_career,alt_career_1,alt_career_2,match_confidence,skill_gap_1,skill_gap_2,skill_gap_3,gap_severity,readiness_score,est_weeks_to_ready,peer_benchmark_percentile,learning_roadmap_url
1,20,5.6,0,69,74,84,83,55,58,49,35,50,2,3,No,Data Scientist,AI / ML Engineer,Cloud Engineer,80,leadership_score,coding_skill_score,extracurricular_score,Low,69,6,60,https://roadmap.sh/ai-data-scientist
2,19,7.3,0,72,72,37,59,67,80,54,47,85,2,1,No,UI/UX Designer,Product Manager,Mobile App Developer,71,aptitude_test_score,extracurricular_score,leadership_score,Medium,57,8,50,https://roadmap.sh/ux-design
3,19,8.6,0,79,72,84,86,52,75,44,85,67,1,4,No,AI / ML Engineer,Data Scientist,Full Stack Developer,84,extracurricular_score,aptitude_test_score,coding_skill_score,Low,68,6,59,https://roadmap.sh/ai-engineer
4,20,7.1,0,78,75,87,90,73,77,48,89,60,1,2,Yes,Data Scientist,AI / ML Engineer,Cloud Engineer,72,problem_solving_score,communication_score,teamwork_score,Low,55,9,48,https://roadmap.sh/ai-data-scientist
5,20,6.4,0,58,70,39,71,70,80,72,34,88,2,4,No,UI/UX Designer,Product Manager,Mobile App Developer,82,teamwork_score,communication_score,problem_solving_score,Medium,73,5,64,https://roadmap.sh/ux-design
6,24,6.6,0,71,73,80,80,82,55,47,44,51,1,4,Yes,Full Stack Developer,Mobile App Developer,DevOps Engineer,71,teamwork_score,problem_solving_score,communication_score,Low,60,8,58,https://roadmap.sh/full-stack
7,23,7.2,0,84,94,89,73,77,75,51,73,67,1,3,No,Data Scientist,AI / ML Engineer,Cloud Engineer,78,coding_skill_score,aptitude_test_score,communication_score,Low,61,7,51,https://roadmap.sh/ai-data-scientist
8,23,5.5,0,71,72,82,82,60,71,46,70,57,2,3,Yes,Mobile App Developer,Full Stack Developer,UI/UX Designer,68,leadership_score,extracurricular_score,coding_skill_score,Low,61,7,58,https://roadmap.sh/android
9,21,7.6,0,78,78,40,81,94,80,93,35,84,0,2,No,Product Manager,UI/UX Designer,Data Scientist,68,problem_solving_score,teamwork_score,communication_score,Medium,46,10,44,https://roadmap.sh/product-manager
10,20,6.6,1,82,79,85,76,69,73,60,75,64,3,4,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,89,coding_skill_score,problem_solving_score,teamwork_score,Low,83,4,70,https://roadmap.sh/full-stack
11,20,5.6,0,92,65,39,68,77,94,84,34,81,0,3,Yes,Product Manager,UI/UX Designer,Data Scientist,71,problem_solving_score,leadership_score,extracurricular_score,Medium,51,9,49,https://roadmap.sh/product-manager
12,20,7.5,0,81,69,92,96,64,67,60,56,46,0,3,Yes,Blockchain Developer,Full Stack Developer,Cybersecurity Analyst,66,communication_score,teamwork_score,aptitude_test_score,Low,48,10,39,https://roadmap.sh/blockchain
13,22,6.3,0,63,67,77,85,80,54,67,34,43,0,2,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,59,extracurricular_score,problem_solving_score,teamwork_score,Low,41,11,37,https://roadmap.sh/devops
14,20,7.6,1,58,69,87,71,77,74,59,80,67,1,5,Yes,Mobile App Developer,Full Stack Developer,UI/UX Designer,89,problem_solving_score,extracurricular_score,aptitude_test_score,Low,74,5,64,https://roadmap.sh/android
15,19,8.0,0,75,82,78,69,55,55,45,63,65,0,2,No,AI / ML Engineer,Data Scientist,Full Stack Developer,68,teamwork_score,problem_solving_score,communication_score,Low,46,10,37,https://roadmap.sh/ai-engineer
16,19,6.6,0,94,89,86,79,54,68,47,89,51,1,3,No,Blockchain Developer,Full Stack Developer,Cybersecurity Analyst,77,problem_solving_score,teamwork_score,aptitude_test_score,Low,61,7,56,https://roadmap.sh/blockchain
17,22,9.5,2,55,71,44,74,81,82,78,64,67,1,3,Yes,Product Manager,UI/UX Designer,Data Scientist,90,aptitude_test_score,problem_solving_score,communication_score,Medium,69,6,65,https://roadmap.sh/product-manager
18,23,8.1,3,96,68,71,70,65,56,71,72,60,0,4,Yes,DevOps Engineer,Cloud Engineer,Full Stack Developer,74,aptitude_test_score,extracurricular_score,leadership_score,Medium,56,8,48,https://roadmap.sh/devops
19,23,6.4,0,71,71,58,71,70,79,86,35,84,1,5,No,Product Manager,UI/UX Designer,Data Scientist,72,teamwork_score,aptitude_test_score,problem_solving_score,Medium,64,7,59,https://roadmap.sh/product-manager
20,19,8.5,0,62,65,44,71,77,74,56,32,74,3,3,Yes,UI/UX Designer,Product Manager,Mobile App Developer,91,aptitude_test_score,coding_skill_score,extracurricular_score,Medium,81,4,70,https://roadmap.sh/ux-design
21,22,8.4,0,90,77,68,73,65,53,73,45,53,3,3,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,95,extracurricular_score,teamwork_score,problem_solving_score,Medium,84,4,74,https://roadmap.sh/devops
22,22,8.9,0,57,58,83,71,64,74,58,49,58,0,4,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,82,extracurricular_score,coding_skill_score,aptitude_test_score,Medium,61,7,54,https://roadmap.sh/full-stack
23,21,7.2,3,89,49,51,61,83,73,65,41,84,3,1,No,UI/UX Designer,Product Manager,Mobile App Developer,82,communication_score,leadership_score,teamwork_score,High,70,6,59,https://roadmap.sh/ux-design
24,24,9.4,0,57,87,85,95,56,75,57,73,53,1,3,No,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,81,teamwork_score,aptitude_test_score,leadership_score,Low,63,7,56,https://roadmap.sh/cyber-security
25,24,8.6,0,74,94,72,83,74,70,66,38,48,1,2,Yes,Data Scientist,AI / ML Engineer,Cloud Engineer,82,communication_score,leadership_score,coding_skill_score,Low,61,7,53,https://roadmap.sh/ai-data-scientist
26,24,6.4,0,93,65,83,89,64,74,57,62,59,1,2,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,72,coding_skill_score,problem_solving_score,aptitude_test_score,Low,55,9,47,https://roadmap.sh/devops
27,23,6.1,0,85,86,81,74,72,75,65,70,55,2,1,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,69,problem_solving_score,teamwork_score,coding_skill_score,Low,56,8,46,https://roadmap.sh/devops
